image_id;tma_number;roll;frame;view_direction;altitude;azimuth;date_year;date_month;date_day;cam_id;location
CA196932V0168;1969;32V;168;V;26000;1.111;1967;1;7;32;peninsula
CA182131L0132;1821;31L;132;L;16000;2.849;1966;11;18;32;peninsula
CA214233R0155;2142;33R;155;R;;2.967;1968;12;23;32;peninsula
CA212132V0029;2121;32V;29;V;;2.908;1968;11;23;32;peninsula
CA180133R0132;1801;33R;132;R;;1.139;1966;0;0;32;peninsula
CA184633R0348;1846;33R;348;R;19200;1.111;1966;12;27;32;peninsula
CA182131L0176;1821;31L;176;L;16000;2.849;1966;11;18;32;peninsula
CA184531L0194;1845;31L;194;L;19200;2.909;1966;12;27;32;peninsula
CA207433R0184;2074;33R;184;R;;1.033;1967;12;0;32;peninsula
CA182133R0148;1821;33R;148;R;16000;2.849;1966;11;18;32;peninsula
CA164432V0045;1644;32V;45;V;25000;2.058;1965;2;18;32;peninsula
CA214233R0168;2142;33R;168;R;;2.967;1968;12;23;32;peninsula
CA181532V0040;1815;32V;40;V;23300;1.121;1966;0;0;32;peninsula
CA180732V0038;1807;32V;38;V;20000;2.870;1966;0;0;32;peninsula
CA212433R0078;2124;33R;78;R;;984.467;1968;11;23;32;peninsula
CA181833R0053;1818;33R;53;R;20700;1.109;1966;0;0;32;peninsula
CA216632V0319;2166;32V;319;V;;1.117;1969;1;12;32;peninsula
CA181631L0080;1816;31L;80;L;16000;1.120;1966;0;0;32;peninsula
CA216433R0235;2164;33R;235;R;;1.121;1969;1;12;32;peninsula
CA174131L0270;1741;31L;270;L;25000;2.931;1966;1;27;32;peninsula
CA184931L0190;1849;31L;190;L;19200;2.837;1966;12;27;32;peninsula
CA183331L0055;1833;31L;55;L;20380;1.110;1966;12;18;32;peninsula
CA199331L0199;1993;31L;199;L;25000;2.932;1967;1;5;32;peninsula
CA184331L0012;1843;31L;12;L;19200;1.108;1966;12;27;32;peninsula
CA183331L0093;1833;31L;93;L;20380;1.110;1966;12;18;32;peninsula
CA180531L0002;1805;31L;2;L;;1.048;1966;0;0;32;peninsula
CA207432V0212;2074;32V;212;V;;1.033;1967;12;0;32;peninsula
CA184432V0167;1844;32V;167;V;19200;1.122;1966;12;27;32;peninsula
CA212333R0029;2123;33R;29;R;;2.855;1968;11;18;32;peninsula
CA181533R0066;1815;33R;66;R;23300;1.121;1966;0;0;32;peninsula
CA181731L0033;1817;31L;33;L;20700;2.877;1966;0;0;32;peninsula
CA182133R0178;1821;33R;178;R;16000;2.849;1966;11;18;32;peninsula
CA184633R0306;1846;33R;306;R;19200;1.111;1966;12;27;32;peninsula
CA183531L0036;1835;31L;36;L;20500;3.598;1966;11;28;32;peninsula
CA184932V0199;1849;32V;199;V;19200;2.837;1966;12;27;32;peninsula
CA182932V0031;1829;32V;31;V;20150;2.851;1966;12;18;32;peninsula
CA184732V0060;1847;32V;60;V;19200;2.916;1966;12;27;32;peninsula
CA196232V0054;1962;32V;54;V;26000;251.517;1967;1;7;32;peninsula
CA184331L0065;1843;31L;65;L;19200;1.108;1966;12;27;32;peninsula
CA181431L0006;1814;31L;6;L;23300;2.890;1966;0;0;32;peninsula
CA181633R0096;1816;33R;96;R;16000;1.120;1966;0;0;32;peninsula
CA184631L0349;1846;31L;349;L;19200;1.111;1966;12;27;32;peninsula
CA207431L0165;2074;31L;165;L;;1.033;1967;12;0;32;peninsula
CA180031L0042;1800;31L;42;L;;2.925;1966;0;0;32;peninsula
